stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"2075","2075","Litoranea per Platamona fr torre Abbacur","","40.819862","8.453755","","","","","",""
"2076","2076","Litoranea per Platamona lato torre Abbac","","40.819993","8.453764","","","","","",""
"2077","2077","Strada comunale Monte Pizzinnu (Nuovo Ci","","40.8166","8.40208","","","","","",""
"2078","2078","Via Sassari 145","","40.8275","8.40863","","","","","",""
"2079","2079","Via Porrino fr. 6 (scuole)","","40.8296","8.40217","","","","","",""
"208","208","V. Amendola Civico 62","","40.7221","8.55452","","","","","",""
"2081","2081","Via Sassari fr. 71","","40.833","8.40241","","","","","",""
"2082","2082","Via delle Vigne 6","","40.832","8.40443","","","","","",""
"2083","2083","Via della Libertŕ (fr. rifornitore)","","40.8304","8.41279","","","","","",""
"209","209","V. Amendola Civico 56","","40.7214","8.55558","","","","","",""
"2090","2090","Via Ponte Romano (Capolinea)","","40.8378","8.39753","","","","","",""
"2091","2091","Via Bassu (Stazione Marittima)","","40.8381","8.39894","","","","","",""
"2092","2092","Via Bassu (Fr. Stazione Marittima)","","40.8382","8.39885","","","","","",""
"2093","2093","Via Sassari 12","","40.8348","8.4015","","","","","",""
"2094","2094","Via Antonelli (Fr. Carabinieri)","","40.8289","8.41051","","","","","",""
"2095","2095","Via Cellini 2","","40.8254","8.41259","","","","","",""
"2096","2096","Via Piemonte 4","","40.8248","8.41423","","","","","",""
"2097","2097","Via Sardegna (Piazzale Lazio)","","40.8256","8.41669","","","","","",""
"2098","2098","Via del Lentischio 36","","40.8236","8.42307","","","","","",""
"2099","2099","Via del Lentischio 10","","40.8224","8.42062","","","","","",""
"21","21","Via  Deledda civico 13","","40.733","8.56172","","","","","",""
"210","210","V. Amendola Civico 40","","40.7206","8.55755","","","","","",""
"2100","2100","Via del Melo 13","","40.8248","8.42297","","","","","",""
"2101","2101","Via del Mirto 7","","40.8257","8.42054","","","","","",""
"2102","2102","Via delle Vigne (Stadio)","","40.8273","8.41736","","","","","",""
"2103","2103","Via della Cultura (Fr. 5B)","","40.8318","8.41686","","","","","",""
"2104","2104","Via Falcone Borsellino (Fr. Eurospin)","","40.8316","8.42123","","","","","",""
"2105","2105","Via Tramontana Fr. 10","","40.8341","8.42055","","","","","",""
"2106","2106","Viale della Liberta 63","","40.8344","8.41774","","","","","",""
"2107","2107","Via Lussu 47","","40.8334","8.41526","","","","","",""
"2108","2108","Via Lussu 13","","40.835","8.41175","","","","","",""
"2109","2109","Via Pascoli 6","","40.8341","8.40663","","","","","",""
"211","211","V. Napoli Civico 13","","40.7178","8.56162","","","","","",""
"2110","2110","Via Sacchi (Poste Italiane)","","40.833","8.4038","","","","","",""
"2111","2111","SS 131 dir. SS - Pensilina","","40.8209","8.4183","","","","","",""
"2112","2112","Via Sassari 173","","40.8222","8.416946","","","","","",""
"2113","2113","Via dei Corbezzoli, Fr. Edicola","","40.824096","8.419125","","","","","",""
"2114","2114","Via della Cultura Fr. 9","","40.8314","8.4175","","","","","",""
"2115","2115","Via Pertini dopo 28/A","","40.8329","8.4133","","","","","",""
"2116","2116","Viale della Libertŕ, Fr. Market","","40.8317","8.4143","","","","","",""
"2117","2117","Via delle Vigne 29","","40.8308","8.4104","","","","","",""
"2118","2118","Viale delle Vigne 23","","40.8314","8.4078","","","","","",""
"2119","2119","Via Manno, Giardini Pubblici Fr. 9","","40.8319","8.4027","","","","","",""
"212","212","V. Napoli Civico 105","","40.7161","8.5643","","","","","",""
"2120","2120","Via Indipendenza 22","","40.8308","8.4035","","","","","",""
"2121","2121","Via Fattori 15","","40.8267","8.4078","","","","","",""
"2122","2122","Via dell'Industria Fr. ASL","","40.823","8.4096","","","","","",""
"2123","2123","Via Lussu 21","","40.8345","8.4129","","","","","",""
"2124","2124","Via Benedetto Croce 9","","40.8374","8.41442","","","","","",""
"2125","2125","Via Benedetto Croce 8","","40.8374","8.41432","","","","","",""
"2126","2126","Via Tramontana 10","","40.8339","8.42087","","","","","",""
"2127","2127","Via Tramontana Fr. 54","","40.833","8.42391","","","","","",""
"2128","2128","Via Tramontana 54","","40.8329","8.42385","","","","","",""
"213","213","V. Duca degli Abruzzi Civico 26","","40.7159","8.56748","","","","","",""
"214","214","V. Forlanini Fr. Civico 5","","40.7159","8.57548","","","","","",""
"215","215","V. Forlanini Civico 4","","40.7146","8.57522","","","","","",""
"216","216","V. Forlanini Fr. Civico 29","","40.7137","8.57688","","","","","",""
"217","217","V. Siglienti Fr. (Centrale ENEL)","","40.7134","8.58","","","","","",""
"218","218","Capolinea V. Siglienti","","40.7122","8.58207","","","","","",""
"219","219","S.P. La Crucca civico 46","","40.7575","8.49532","","","","","",""
"22","22","Via  Deledda civico 61","","40.7332","8.56362","","","","","",""
"220","220","Porta Sant'Antonio (Lato Edicola)","","40.73","8.55634","","","","","",""
"221","221","C.so Vitt. Emanule civico 72","","40.7283","8.55918","","","","","",""
"222","222","P.zza Azuni Fr. civico 22","","40.7271","8.56137","","","","","",""
"224","224","P.zza Castello (Lato Rist. Castello)","","40.7266","8.5628","","","","","",""
"225","225","P.zza Azuni civico 18","","40.7272","8.56108","","","","","",""
"226","226","C.so Vitt. Emanule civico Fr. Civico 72","","40.7283","8.55918","","","","","",""
"227","227","Porta Sant'Antonio (Fr.Edicola)","","40.7301","8.55636","","","","","",""
"228","228","Via Gorizia civico 28","","40.7286","8.5739","","","","","",""
"229","229","Z.I. P. Niedda Str. 21 Fr. (Cittŕ Merc.)","","40.7367","8.53745","","","","","",""
"23","23","Via  Deledda civico 97","","40.734","8.56598","","","","","",""
"230","230","V. Pala di Carru civico 60","","40.7447","8.51837","","","","","",""
"231","231","Capolinea Centro Ecologico","","40.7179","8.59672","","","","","",""
"232","232","C. Ecologico (Lato Fac. Econ. e Comm.)","","40.7152","8.5945","","","","","",""
"233","233","C. Ecologico - (Lato V. Nenni)","","40.714","8.59203","","","","","",""
"234","234","V. Carlo Felice Civico 56","","40.7137","8.58713","","","","","",""
"235","235","V. Carlo Felice Fr. Civico 43","","40.7141","8.5833","","","","","",""
"236","236","V. Carlo Felice - (Lato V. Chironi)","","40.7154","8.57985","","","","","",""
"237","237","V. Carlo Felice Civico 22","","40.7163","8.57718","","","","","",""
"238","238","V. Carlo Felice Civico 6","","40.7174","8.57468","","","","","",""
"239","239","V. Carlo Felice Fr. (Distributore Esso)","","40.7186","8.57252","","","","","",""
"24","24","Via  Deledda civico 133","","40.7352","8.56898","","","","","",""
"240","240","V. Duca degli Abruzzi Fr. Civico 4","","40.7183","8.57032","","","","","",""
"241","241","V.le Dante Fr. Civico 73","","40.7172","8.56872","","","","","",""
"242","242","V.le Dante Civico 34","","40.719","8.56673","","","","","",""
"243","243","V.le Dante Civico 4","","40.7206","8.565","","","","","",""
"244","244","C.so M. di Savoia Fr Scuole Medie","","40.722","8.5632","","","","","",""
"245","245","C.so M. di Savoia (Lato Scuole Medie)","","40.7219","8.56317","","","","","",""
"246","246","V.le Dante Fr. Civico 4","","40.7205","8.56475","","","","","",""
"247","247","V.le Dante Fr. Civico 34","","40.719","8.56665","","","","","",""
"248","248","V.le Dante Civico 73","","40.7172","8.56827","","","","","",""
"249","249","V. Duca degli Abruzzi Civico 4","","40.718","8.57018","","","","","",""
"25","25","Via  Deledda civico 145","","40.7359","8.57066","","","","","",""
"250","250","V. Carlo Felice ( Vigili del Fuoco)","","40.7189","8.57152","","","","","",""
"251","251","V. Carlo Felice Fr. Civico 6","","40.7172","8.575","","","","","",""
"252","252","V. Carlo Felice Fr. Civico 22","","40.7163","8.57703","","","","","",""
"253","253","V. Carlo Felice Fr. (V. Chironi)","","40.7154","8.57977","","","","","",""
"254","254","V. Carlo Felice Civico 43","","40.7139","8.5842","","","","","",""
"255","255","V. Carlo Felice Fr civico 56","","40.7136","8.58698","","","","","",""
"256","256","C. Ecologico Fr. (V. Nenni)","","40.7141","8.59217","","","","","",""
"257","257","C. Ecologico Fr. (Fac. Economia e Comm.)","","40.715","8.59442","","","","","",""
"258","258","S.V. Maccia di La Faba civico 29","","40.7526","8.47988","","","","","",""
"259","259","Z.I. P. Niedda  Str. 2 (Fr. Il Mobile 3)","","40.7341","8.53802","","","","","",""
"26","26","Via  Deledda civico 163","","40.7367","8.57263","","","","","",""
"261","261","Capolinea M. Furru","","40.7491","8.57138","","","","","",""
"263","263","V. Baldedda Fr. Capolinea","","40.7432","8.56584","","","","","",""
"264","264","Via M. Furru Fr. Civico 22","","40.7459","8.56798","","","","","",""
"265","265","Vie De Martini Civico 65","","40.7629","8.51386","","","","","",""
"266","266","V. Sette Fratelli","","40.7503","8.5426","","","","","",""
"267","267","V.le Sant'Orsola civ. 74","","40.7507","8.5339","","","","","",""
"268","268","V. Cesaraccio civ. 16","","40.7474","8.53652","","","","","",""
"269","269","V. Nigra civico 4","","40.7506","8.50977","","","","","",""
"27","27","Via  Prati Fr. civico 50","","40.738","8.57207","","","","","",""
"270","270","V. Nigra civico 7","","40.7505","8.50977","","","","","",""
"271","271","V. Savoia Civico 50","","40.7269","8.57027","","","","","",""
"272","272","V. De Carolis Civico 7","","40.7254","8.57147","","","","","",""
"273","273","V. De Carolis Civico 19","","40.724","8.57305","","","","","",""
"274","274","V. Gramsci Fr. Civico 19","","40.7224","8.57678","","","","","",""
"275","275","V. Savoia Fr. Civico 50","","40.7268","8.57027","","","","","",""
"276","276","V.le Trento Civico 4","","40.7257","8.56667","","","","","",""
"277","277","P.zza D' Armi civico n° 17","","40.7211","8.56255","","","","","",""
"278","278","P.zza Musu Martini  (Lato cabina ENEL)","","40.7516","8.50703","","","","","",""
"279","279","S.P. La Crucca civico 10","","40.7535","8.50245","","","","","",""
"28","28","Via  Prati Fr. civico 8","","40.7382","8.5684","","","","","",""
"280","280","S.P. La Crucca civico 18","","40.7549","8.50032","","","","","",""
"281","281","S.P. La Crucca civico 34","","40.757","8.49777","","","","","",""
